resume_text,job_role
Python pandas numpy scikit-learn machine learning statistics data analysis regression classification,Data Scientist
Python pandas numpy matplotlib seaborn machine learning predictive modeling statistics,Data Scientist
Machine learning Python SQL pandas numpy scikit-learn feature engineering model evaluation,Data Scientist
Python data science machine learning deep learning statistics pandas visualization,Data Scientist
Python sklearn pandas numpy SQL regression clustering classification data preprocessing,Data Scientist
Python machine learning NLP pandas numpy statistics predictive analytics,Data Scientist
Python scikit-learn TensorFlow pandas data modeling feature selection statistics,Data Scientist
Python pandas machine learning algorithms SQL data visualization statistical analysis,Data Scientist
Excel SQL Power BI Tableau data analysis dashboards reporting statistics,Data Analyst
SQL Excel Power BI data visualization reporting business intelligence,Data Analyst
Python pandas Excel SQL Tableau dashboard data cleaning analysis,Data Analyst
Power BI SQL Excel Tableau statistics reporting data visualization,Data Analyst
SQL data analysis Excel Power BI dashboards KPIs business reporting,Data Analyst
Python pandas SQL Excel data cleaning visualization business analysis,Data Analyst
Tableau Power BI SQL Excel reporting analytics dashboard development,Data Analyst
SQL Excel Power BI data analytics charts reports business intelligence,Data Analyst
Python Django Flask FastAPI REST API SQL Git backend development,Python Developer
Python Django Flask PostgreSQL REST API backend software development,Python Developer
Python FastAPI Django API development SQL Git Docker backend,Python Developer
Python programming Django Flask database REST API web development,Python Developer
Python OOP Django Flask SQL APIs Git backend development,Python Developer
Python FastAPI PostgreSQL Docker REST APIs backend engineer,Python Developer
Python Django ORM Flask API authentication SQL backend,Python Developer
Python scripting Django Flask REST API Git software development,Python Developer
HTML CSS JavaScript React Bootstrap web development responsive websites,Web Developer
HTML CSS JavaScript React frontend web design responsive UI,Web Developer
JavaScript HTML CSS React Node.js web application development,Web Developer
HTML CSS JavaScript Bootstrap frontend development website design,Web Developer
React JavaScript HTML CSS REST API responsive web applications,Web Developer
JavaScript React HTML CSS Git frontend developer UI development,Web Developer
HTML CSS JavaScript Vue React web interfaces responsive design,Web Developer
JavaScript HTML CSS Node.js React full stack web development,Web Developer
Python machine learning TensorFlow PyTorch scikit-learn model deployment MLOps,Machine Learning Engineer
Python TensorFlow PyTorch machine learning deep learning model deployment,Machine Learning Engineer
scikit-learn Python TensorFlow Docker ML pipelines model serving MLOps,Machine Learning Engineer
Python machine learning algorithms neural networks TensorFlow deployment APIs,Machine Learning Engineer
PyTorch TensorFlow Python deep learning model optimization Docker Kubernetes,Machine Learning Engineer
Python ML model training deployment CI CD Docker MLOps scikit-learn,Machine Learning Engineer
TensorFlow PyTorch Python machine learning production models cloud deployment,Machine Learning Engineer
Python NLP computer vision machine learning model deployment monitoring,Machine Learning Engineer
Python artificial intelligence NLP computer vision deep learning TensorFlow PyTorch,AI Engineer
Python AI NLP deep learning neural networks TensorFlow computer vision,AI Engineer
Artificial intelligence Python PyTorch NLP transformers deep learning,AI Engineer
Python TensorFlow NLP computer vision neural networks AI applications,AI Engineer
Deep learning Python PyTorch NLP transformers machine learning AI systems,AI Engineer
Python AI machine learning speech processing NLP neural networks,AI Engineer
Python computer vision OpenCV TensorFlow deep learning artificial intelligence,AI Engineer
Python NLP transformers PyTorch AI model development deep learning,AI Engineer
Java Python C++ data structures algorithms OOP Git software development,Software Engineer
Java Spring Boot SQL Git REST API object oriented programming,Software Engineer
C++ Java Python algorithms data structures software engineering Git,Software Engineer
Java OOP SQL Spring software development testing Git,Software Engineer
Python Java C++ problem solving algorithms databases Git Agile,Software Engineer
Java Spring Boot REST APIs SQL microservices software development,Software Engineer
C++ Python algorithms data structures OOP system design Git,Software Engineer
Java Python SQL software testing debugging Git Agile development,Software Engineer
Python NLP NLTK spaCy transformers BERT text classification sentiment analysis,NLP Engineer
Python natural language processing transformers Hugging Face BERT NLP,NLP Engineer
NLP Python NLTK spaCy text preprocessing named entity recognition,NLP Engineer
Python transformers PyTorch NLP language models text classification,NLP Engineer
Natural language processing Python BERT tokenization embeddings machine learning,NLP Engineer
Python NLP sentiment analysis text mining NLTK spaCy machine learning,NLP Engineer
Hugging Face transformers Python NLP BERT sequence classification,NLP Engineer
Python NLP language models text analytics embeddings transformers,NLP Engineer
SQL MySQL PostgreSQL database administration backup recovery performance tuning,Database Administrator
Oracle SQL database administration backup security performance monitoring,Database Administrator
MySQL PostgreSQL SQL database management backup replication optimization,Database Administrator
SQL Server Oracle database administration indexing backup recovery,Database Administrator
PostgreSQL MySQL database security SQL performance tuning backup,Database Administrator
Oracle SQL Server database monitoring backup disaster recovery administration,Database Administrator
SQL databases MySQL PostgreSQL user management backup optimization,Database Administrator
Database administration SQL Oracle MySQL performance troubleshooting,Database Administrator
